timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01 00:00:00,42000.0,42046.8,41982.04,42024.84,39.64,1666013.33
2024-01-01 00:01:00,42024.84,42029.52,42016.18,42017.92,174.57,7335214.43
2024-01-01 00:02:00,42017.92,42097.5,41988.83,42096.88,168.16,7079184.54
2024-01-01 00:03:00,42096.88,42141.63,42091.43,42135.25,44.85,1889633.74
2024-01-01 00:04:00,42135.25,42160.31,42126.52,42147.35,126.25,5321189.72
2024-01-01 00:05:00,42147.35,42151.54,42042.92,42051.69,79.61,3347682.4
2024-01-01 00:06:00,42051.69,42130.96,42036.26,42124.97,122.56,5162784.6
2024-01-01 00:07:00,42124.97,42126.36,42095.46,42113.68,42.4,1785602.6
2024-01-01 00:08:00,42113.68,42134.21,42070.45,42083.65,33.19,1396641.25
2024-01-01 00:09:00,42083.65,42098.51,42068.03,42069.07,182.77,7689000.06
2024-01-01 00:10:00,42069.07,42119.54,42053.46,42110.19,113.87,4795296.28
2024-01-01 00:11:00,42110.19,42115.74,42020.06,42049.15,157.28,6613290.17
2024-01-01 00:12:00,42049.15,42088.73,42043.27,42086.07,18.59,782514.16
2024-01-01 00:13:00,42086.07,42104.4,42074.41,42094.64,61.56,2591191.13
2024-01-01 00:14:00,42094.64,42103.07,42055.33,42071.61,36.78,1547208.85
2024-01-01 00:15:00,42071.61,42148.53,42069.37,42124.47,197.51,8319941.04
2024-01-01 00:16:00,42124.47,42124.63,42066.16,42090.62,144.3,6073798.46
2024-01-01 00:17:00,42090.62,42143.07,42067.48,42121.2,24.07,1013793.53
2024-01-01 00:18:00,42121.2,42147.1,42060.54,42079.24,72.87,3066340.78
2024-01-01 00:19:00,42079.24,42081.15,42054.45,42063.78,71.78,3019541.57
2024-01-01 00:20:00,42063.78,42131.03,42049.62,42104.41,32.72,1377778.66
2024-01-01 00:21:00,42104.41,42193.62,42081.59,42172.22,116.64,4919080.41
2024-01-01 00:22:00,42172.22,42187.9,42157.6,42170.43,14.83,625372.05
2024-01-01 00:23:00,42170.43,42251.9,42169.49,42248.66,130.92,5531109.45
2024-01-01 00:24:00,42248.66,42280.48,42241.18,42253.25,87.97,3717134.86
2024-01-01 00:25:00,42253.25,42275.92,42147.01,42153.87,24.63,1038088.96
2024-01-01 00:26:00,42153.87,42181.76,42089.2,42113.45,130.35,5489349.45
2024-01-01 00:27:00,42113.45,42139.59,42064.25,42088.36,45.45,1912844.86
2024-01-01 00:28:00,42088.36,42117.44,42061.48,42093.21,70.42,2964231.87
2024-01-01 00:29:00,42093.21,42144.95,42086.38,42141.65,91.15,3841231.21
2024-01-01 00:30:00,42141.65,42156.66,42126.32,42156.45,89.31,3764912.19
